34	20	14	8
63	38	26	16
101	61	42	26
149	90	62	38
202	122	84	52
255	154	106	65
293	178	122	75
365	221	152	93
432	262	180	111
513	311	213	131
604	366	251	155
691	419	287	177
796	483	331	204
871	528	362	223
991	600	412	254
1082	656	450	277
1212	734	504	310
1346	816	560	345
1500	909	624	384
1600	970	666	410
1708	1035	711	438
1872	1134	779	480
2059	1248	857	528
2188	1326	911	561
2395	1451	997	614
2544	1542	1059	652
2701	1637	1125	692
2857	1732	1190	732
3035	1839	1264	778
3289	1994	1370	843
3486	2113	1452	894
3693	2238	1538	947
3909	2369	1628	1002
4134	2506	1722	1060
4343	2632	1809	1113
4588	2780	1911	1176
4775	2894	1989	1224
5039	3054	2099	1292
5313	3220	2213	1362
5596	3391	2331	1435
